01/04/24 10:12:10: style.scss - parse error: failed at `mb0` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 817, at column 37
01/05/24 2:00:27: style.scss - parse error: failed at `&.section-mnsm-samoggia-dark` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 1314, at column 13
01/07/24 2:39:43: style.scss - parse error: failed at `&-element-decoration display: none` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 1999, at column 9
01/07/24 2:39:51: style.scss - parse error: failed at `&-element-decoration display: none` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 1999, at column 9
01/08/24 8:56:49: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 2415, at column 0
01/09/24 3:31:08: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 1631, at column 0
01/09/24 3:41:11: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 1673, at column 0
01/12/24 9:14:43: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 2292, at column 0
01/12/24 9:15:22: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 2292, at column 0
01/12/24 9:15:23: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 2292, at column 0
01/12/24 9:15:28: style.scss - unexpected }: failed at `` /Users/valeriocorda/Library/CloudStorage/GoogleDrive-info@valeriocorda.it/Il mio Drive/CLIENTI/MNSM/website_deploy/MNSM-deploy/wp-content/themes/aurum-child/custom-scss/style.scss on line 2292, at column 0
